lexical_weight,support_threshold,entailment_threshold,contradiction_threshold,macro_draft_token_f1,macro_final_token_f1,macro_revision_rate,macro_abstention_rate,macro_evidence_support_rate,contradiction_rejection_rate
0.0,0.35,0.75,0.5,0.18472074313963927,0.17509924861617374,0.7023809523809524,0.041005291005291,0.7589796915485524,1.0
0.0,0.4,0.75,0.5,0.18472074313963927,0.1754130118207766,0.7023809523809524,0.042328042328042326,0.755954160348418,1.0
0.0,0.45,0.75,0.5,0.18472074313963927,0.17546269000101977,0.7023809523809524,0.04497354497354497,0.754895959290217,1.0
0.0,0.5,0.75,0.5,0.18472074313963927,0.17543344168996752,0.7023809523809524,0.0462962962962963,0.7543668587611164,1.0
0.0,0.55,0.75,0.5,0.18472074313963927,0.17588048830969125,0.7023809523809524,0.04894179894179893,0.752267253486908,1.0
0.0,0.6,0.75,0.5,0.18472074313963927,0.17608395994910933,0.7023809523809524,0.04894179894179893,0.7502443645592572,1.0
0.0,0.65,0.75,0.5,0.18472074313963927,0.17599818438611173,0.7023809523809524,0.04894179894179893,0.7492517284475735,1.0
0.0,0.7,0.75,0.5,0.18472074313963927,0.17733681902249745,0.7023809523809524,0.04894179894179893,0.7459505763368975,1.0
0.2,0.35,0.75,0.5,0.18472074313963927,0.1753098758011573,0.7023809523809524,0.04497354497354497,0.7553809681085591,1.0
0.2,0.4,0.75,0.5,0.18472074313963927,0.1754951820502153,0.7023809523809524,0.04497354497354497,0.7546314090256666,1.0
0.2,0.45,0.75,0.5,0.18472074313963927,0.17588048830969125,0.7023809523809524,0.04894179894179893,0.752267253486908,1.0
0.2,0.5,0.75,0.5,0.18472074313963927,0.17602272146194495,0.7023809523809524,0.04894179894179893,0.7503461146610073,1.0
0.2,0.55,0.75,0.5,0.18472074313963927,0.17599786638131568,0.7023809523809524,0.04894179894179893,0.7490694592176852,1.0
0.2,0.6,0.75,0.5,0.18472074313963927,0.1783798132705381,0.705026455026455,0.06216931216931217,0.7378087512307867,1.0
0.2,0.65,0.75,0.5,0.18472074313963927,0.1782486515653023,0.7076719576719577,0.06216931216931217,0.7360535619755973,1.0
0.2,0.7,0.75,0.5,0.18472074313963927,0.1782486515653023,0.7076719576719577,0.06216931216931217,0.7360535619755973,1.0
0.35,0.35,0.75,0.5,0.18472074313963927,0.17593069562688354,0.7023809523809524,0.047619047619047616,0.7527522623052502,1.0
